0,0,40,46,20,89,0,780,411,40,46,20,20
0,0,40,46,60,89,0
0,0,40,46,100,89,0
0,0,40,46,140,135,0
0,0,40,46,180,135,0
0,0,40,46,220,135,0
0,0,40,46,260,89,0
0,0,40,46,300,89,0
0,0,40,46,340,89,0
0,0,40,46,380,135,0
0,0,40,46,420,135,0
0,0,40,46,460,135,0
0,0,40,46,500,89,0
0,0,40,46,540,89,0
0,0,40,46,580,89,0
0,0,40,46,620,89,0
0,0,40,46,660,89,0
0,0,40,46,700,89,0
0,0,40,46,140,273,0
0,0,40,46,180,273,0
0,0,40,46,220,273,0
0,0,40,46,260,273,0
0,0,40,46,300,273,0
0,0,40,46,340,273,0
0,0,40,46,380,273,0
1,0,40,46,420,273,0
1,0,40,46,460,273,0
1,0,40,46,500,273,0
1,0,40,46,540,273,0
1,0,40,46,580,273,0
1,0,40,46,620,273,0
1,0,40,46,660,273,0
1,0,40,46,700,273,0
1,0,40,46,740,273,0
1,0,40,46,780,273,0
1,0,40,46,20,454,0
1,0,40,46,60,454,0
1,0,40,46,100,454,0
1,0,40,46,180,454,1,3,0,180,620,454,454,1
1,0,40,46,700,454,0
1,0,40,46,740,454,0
1,0,40,46,780,454,0
1,0,40,46,20,89,0
1,0,40,46,20,132,0
1,0,40,46,20,178,0
1,0,40,46,20,224,0
1,0,40,46,20,270,0
1,0,40,46,20,316,0
1,0,40,46,20,362,0
1,0,40,46,20,408,0
1,0,40,46,780,-3,0
1,0,40,46,780,43,0
1,0,40,46,780,89,0
1,0,40,46,780,132,0
1,0,40,46,780,178,0
1,0,40,46,780,224,0
0,0,40,46,780,270,0
0,0,40,46,780,316,0
